10-07-2021 11:17:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:17:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:17:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:17:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:17:36 | 84.247.50.45> SEARCH>MODUL>search> INFO: 	modulcode:FMI-BI0003
10-07-2021 11:17:36 | 84.247.50.45> SEARCH>MODUL>search> INFO: 	Found 1 Results
10-07-2021 11:17:52 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:17:52 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:17:52 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:17:52 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:17:53 | 84.247.50.45> SEARCH>MODUL>search> INFO: 	modulcode:FMI-BI0003
10-07-2021 11:17:53 | 84.247.50.45> SEARCH>MODUL>search> INFO: 	Found 1 Results
10-07-2021 11:18:02 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:18:02 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:18:02 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:18:02 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:18:04 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:18:04 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:18:05 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:18:05 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:18:12 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:18:12 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:18:12 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:18:12 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:18:13 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:18:13 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:19:20 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:19:20 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:19:20 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:19:20 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:19:30 | 84.247.50.45> SEARCH>MODUL>search> INFO: 	modulcode:FMI-BI0007
10-07-2021 11:19:30 | 84.247.50.45> SEARCH>MODUL>search> INFO: 	Found 1 Results
10-07-2021 11:22:19 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:22:19 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:22:19 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:22:19 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:22:21 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:10027, sem:20210
10-07-2021 11:22:21 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 2 Results
10-07-2021 11:45:06 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:45:06 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:45:33 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:45:33 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:45:33 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:45:33 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:45:35 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:45:35 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:45:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:45:37 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:49:02 | 84.247.50.45> SEARCH> WARN: 	Invalid Session!
10-07-2021 11:49:12 | 84.247.50.45> SEARCH> WARN: 	Invalid Session!
10-07-2021 11:49:12 | 84.247.50.45> SEARCH> WARN: 	Invalid Session!
10-07-2021 11:51:41 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:51:41 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:51:41 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:51:41 | 84.247.50.45> SEARCH>VERANSTALTUNG>searchAll> INFO: 	Found 20 Results
10-07-2021 11:51:43 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:51:43 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:51:45 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	vnr:18984, sem:20211
10-07-2021 11:51:45 | 84.247.50.45> SEARCH>VERANSTALTUNG>search> INFO: 	Found 4 Results
10-07-2021 11:54:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:FMI-IN1017, limit:20
10-07-2021 11:54:35 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 0 Results
10-07-2021 11:54:45 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:1017, limit:20
10-07-2021 11:54:45 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 0 Results
10-07-2021 11:54:47 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:, limit:20
10-07-2021 11:54:47 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:55:01 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:i, limit:20
10-07-2021 11:55:01 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:55:01 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:in, limit:20
10-07-2021 11:55:01 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	Found 20 Results
10-07-2021 11:55:12 | 84.247.50.45> SEARCH>MODUL>searchAll> INFO: 	titel:i, limit:20
